NO-44 (PCsat1);26931;;144.390 ;144.390 ;1200bps AFSK;(B) PCSAT-11;inactive
NO-44 (PCsat1);26931;;144.390 ;144.390 ;9600bps FSK;(B) PCSAT-12;inactive
NO-45 (Sapphire);26932;145.945 ;437.100 ;437.100 ;1200bps AFSK;KE6QMD;inactive
NO-60 (RAFT);29661;145.825 ;145.825 ;145.825 ;1200bps AFSK;RAFT;reentered
NO-61 (ANDE);29664;145.825 ;145.825 ;145.825 ;1200bps AFSK;ANDE-1;reentered
NO-62 (FCAL);29667;;437.385 ;437.385 ;1200bps AFSK;KD4HBO;reentered
NOAA-15;25338;;137.620/1702.500;;;(weather sat);
NOAA-18;28654;;137.9125/1707.000;;;(weather sat);
NOAA-19;33591;;137.100/1698.000;;;(weather sat);
NPS-SCAT;39389;;2401.200-2447.600;437.525 ;1200bps AFSK CW;K6NPS;inactive
O/OREOS;37224;;437.300/437.305;;1200bps AFSK;KF6JBP;active
OO-38 (OPAL);26063;;437.100 ;437.100 ;9600bps FSK;KF6RFX;inactive
OPTOS;39420;;;;;(non-amateur);
OPUSAT;39575;;437.154 ;437.154 ;1k2AFSK 9k6GFSK CW;JL3ZCA;reentered
ORS-Squared;;;437.325 ;;9600bps GMSK;;failure
OSSI-1;39131;;437.525 ;145.980 ;1200bps AFSK CW;;
PACE;40023;;437.485 ;437.485 ;1200bps AFSK CW;;inactive
PCSat2;;145.825 ;435.275 ;437.975 ;9600bps FSK;PC2TLM;reentered
Perseus-M1;40039;;400.160/400.170;;9600bps GFSK;(non-amateur);
Perseus-M2;40037;;400.190/400.221;;9600bps GFSK;(non-amateur);
PharmaSat-1;35002;;437.465 ;437.465 ;1200bps AFSK;KE7EGC;inactive
PhoneSat2.4;39381;;2401.200-2431.200;437.425 ;1200bps AFSK;KJ6KRW;active
PhoneSat2.5;39684;;2401.200-2431.200;437.425 ;1200bps AFSK;KJ6KRW;reentered
PicoDragon;39413;;437.xxx;437.250 ;1200bps AFSK CW;XV9PID;reentered
PICPOT;;;437.485 ;;9600bps FSK;;failure
PICPOT;;;2440.000 ;;10kbit GFSK;;failure
PO-28 (POSAT);22829;145.925/145.975;435.075/435.275;;9600bps FSK;POSAT1-11 -12;inactive
PO-34 (PANSAT);25520;436.500 ;436.500 ;;Spectrum;;inactive
PO-63 (PehuenSat);29712;;145.825 ;145.825 ;1200bps AFSK;LU1YUC;inactive
Pocket-PUCP;;;437.200 ;437.200 ;1200bps AFSK CW;;inactive
PolyITAN-1;40042;;437.677 ;437.677 ;9600bps 2FSK CW;EM0UKP;active
PolySat CP1;;;436.845 ;;15bps DTMF CW;N6CP;failure
PolySat CP2;;;437.325 ;437.325 ;1200bps AFSK;;failure
PolySat CP3;31128;;436.845 ;;1200bps AFSK;;inactive
PolySat CP4;31132;;437.325 ;437.323 ;1200bps SSB;N6CP;inactive
POPSAT-HIP1;40028;;437.405 ;437.405 ;1k2 9k6 CCSDS CW;POPSAT;inactive
PrintSat;;;437.325 ;;9600bps GMSK;;failure
PRISM (HITOMI);33493;;437.425 ;437.250 ;1k2AFSK 9k6GMSK CW;JQ1YCX;active
PROITERES;38756;;437.485 ;437.485 ;1200bps AFSK CW;JL3YZL;inactive
PSat-A/B (NO-84);40654;28.120/145.825;145.825/435.350;;1200bps AFSK PSK31;PSAT-1/PSAT;active
PTecSat;;;436.000/437.000-427.200;;1200bps AFSK;;
PUCP-SAT-1;39442;145.840 ;145.840/437.200;;1200bps AFSK;;inactive
PW-Sat1;38083;435.020 ;145.900 ;145.902 ;1200bps BPSK FM CW;VOID;inactive
QB50p1/FUNcube3 (EO-79);40025;435.047-435.077;145.965-145.935;145.815 ;1200bps BPSK CW SSB;QB50P1;active
QB50p2 (EO-80);40032;435.080 ;145.880/145.840;145.880 ;1200bps BPSK CW FM;QB50P2;active
QUAKESAT;27845;;436.682 ;436.682 ;9600bps FSK;KD7OVB;inactive
Qubescout-S1;39443;;437.525 ;;9600bps GMSK;;inactive
RACE;;;437.525 ;437.525 ;38k4 GMSK CW;;failure
RAIKO;38852;;2.285GHz 13GHz;2285.000 ;38.4Kbps-500Kbps BPSK;(non-amateur);
RAX-1;37223;;437.505 ;437.505 ;9600bps GMSK;RAX-1;inactive
RAX-2;37853;;437.345 ;437.345 ;9600bps GMSK;;inactive
RINCON;;;436.870 ;437.345 ;1200bps AFSK;WA4CEW;failure
RISING-2;39769;435.xxx;2401.xxx;;1200bps 9600-96000bps;(non-amateur);
Robusta;38084;;437.325 ;437.325 ;1200bps FM;;inactive
